ModelIndex,ModelName,HyperGridIndex,HyperParams,TrainingTime (s),TestTime (s),Threshold,accuracy,precision,recall,f1,roc_auc,Precision at 1%,Precision at 2%,Precision at 5%,Precision at 10%,Precision at 20%,Precision at 30%,Precision at 50%
0.0,Logistic Regression,16.0,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear'}",6.936455249786378,0.0029926300048828125,0.5,0.7502827808231097,0.7605894851046517,0.9742891887196712,0.8542777354658543,0.5239646048548504,0.9655172413793104,0.9543478260869566,0.9443478260869566,0.9304045237059592,0.9006089604175729,0.8725348027842227,0.8311292848442666
1.0,Decision Tree,25.0,"{'min_samples_split': 0.07, 'max_depth': 10}",0.05681586265563965,0.005983829498291016,0.5,0.7411902897415819,0.7561549601737871,0.9675140425039088,0.8488759049917438,0.5125308536815503,0.9275575134605972,0.9275575134605972,0.9275575134605972,0.9156626506024096,0.8817642698295033,0.8444156591824986,0.8063073852295409
1.0,Decision Tree,26.0,"{'min_samples_split': 0.07, 'max_depth': 15}",0.05684781074523927,0.005033731460571289,0.5,0.7411902897415819,0.7561549601737871,0.9675140425039088,0.8488759049917438,0.5125308536815503,0.9275575134605972,0.9275575134605972,0.9275575134605972,0.9156626506024096,0.8817642698295033,0.8444156591824986,0.8063073852295409
1.0,Decision Tree,27.0,"{'min_samples_split': 0.07, 'max_depth': 20}",0.056856632232666016,0.005975961685180664,0.5,0.7411902897415819,0.7561549601737871,0.9675140425039088,0.8488759049917438,0.5125308536815503,0.9275575134605972,0.9275575134605972,0.9275575134605972,0.9156626506024096,0.8817642698295033,0.8444156591824986,0.8063073852295409
1.0,Decision Tree,29.0,"{'min_samples_split': 0.08, 'max_depth': 10}",0.059839725494384766,0.005984783172607422,0.5,0.7411902897415819,0.7561549601737871,0.9675140425039088,0.8488759049917438,0.5125308536815503,0.9275575134605972,0.9275575134605972,0.9275575134605972,0.9142529394895326,0.882876592773608,0.8469990385935998,0.8063073852295409
1.0,Decision Tree,30.0,"{'min_samples_split': 0.08, 'max_depth': 15}",0.06283235549926758,0.005985021591186523,0.5,0.7411902897415819,0.7561549601737871,0.9675140425039088,0.8488759049917438,0.5125308536815503,0.9275575134605972,0.9275575134605972,0.9275575134605972,0.9142529394895326,0.882876592773608,0.8469990385935998,0.8063073852295409
1.0,Decision Tree,31.0,"{'min_samples_split': 0.08, 'max_depth': 20}",0.06283259391784668,0.005983114242553711,0.5,0.7411902897415819,0.7561549601737871,0.9675140425039088,0.8488759049917438,0.5125308536815503,0.9275575134605972,0.9275575134605972,0.9275575134605972,0.9142529394895326,0.882876592773608,0.8469990385935998,0.8063073852295409
2.0,Random Forest,38.0,"{'min_samples_split': 0.01, 'max_depth': 15, 'max_features': 31}",8.335720539093018,0.4138689041137695,0.5,0.7494561907247891,0.7567820810280207,0.9821645723550873,0.8548675688616718,0.5143462358014722,0.9652173913043478,0.9391304347826088,0.942608695652174,0.9290996085254458,0.901913875598086,0.8751450116009281,0.8233707474114679
2.0,Random Forest,54.0,"{'min_samples_split': 0.01, 'max_depth': 20, 'max_features': 31}",8.236979722976685,0.4118680953979492,0.5,0.7496302096928565,0.7567338565822334,0.982627830215994,0.8550122187791299,0.5142280309029943,0.9608695652173912,0.9434782608695652,0.9452173913043478,0.9304045237059592,0.9021526418786692,0.8754350348027842,0.8242408422518055
3.0,Bagging,47.0,"{'max_samples': 0.3, 'max_features': 76}",34.626179695129395,4.847247362136841,0.5,0.7346645784390499,0.76441624846132,0.9349701777752041,0.8411346409314684,0.5322918056971175,0.9659574468085106,0.9562363238512036,0.9409722222222222,0.9216450216450216,0.8906521739130435,0.8638273214544401,0.8256753235472943
4.0,Ada Boosting,10.0,"{'algorithm': 'SAMME.R', 'learning_rate': 1}",18.25803828239441,3.3315625190734863,0.5,0.7514139041155486,0.7571549383540304,0.9850599339857548,0.8562009261123414,0.515356624330642,0.9652173913043478,0.9565217391304348,0.9478260869565216,0.93214441061331,0.9040887342322748,0.8747099767981439,0.8300704776820673
0.0,Logistic Regression,16.0,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear'}",7.022339820861816,0.09174299240112303,0.5,0.7502827808231097,0.7605894851046517,0.9742891887196712,0.8542777354658543,0.5239646048548504,0.9655172413793104,0.9543478260869566,0.9443478260869566,0.9304045237059592,0.9006089604175729,0.8725348027842227,0.8311292848442666
0.0,Logistic Regression,16.0,"{'penalty': 'l1', 'C': 10, 'solver': 'liblinear'}",7.058164119720459,0.0,0.5,0.7502827808231097,0.7605894851046517,0.9742891887196712,0.8542777354658543,0.5239646048548504,0.9655172413793104,0.9543478260869566,0.9443478260869566,0.9304045237059592,0.9006089604175729,0.8725348027842227,0.8311292848442666
1.0,Decision Tree,25.0,"{'min_samples_split': 0.07, 'max_depth': 10}",0.051913976669311516,0.01728224754333496,0.5,0.7411902897415819,0.7561549601737871,0.9675140425039088,0.8488759049917438,0.5125308536815503,0.9275575134605972,0.9275575134605972,0.9275575134605972,0.9156626506024096,0.8817642698295033,0.8444156591824986,0.8063073852295409
1.0,Decision Tree,26.0,"{'min_samples_split': 0.07, 'max_depth': 15}",0.06656599044799805,0.0,0.5,0.7411902897415819,0.7561549601737871,0.9675140425039088,0.8488759049917438,0.5125308536815503,0.9275575134605972,0.9275575134605972,0.9275575134605972,0.9156626506024096,0.8817642698295033,0.8444156591824986,0.8063073852295409
1.0,Decision Tree,27.0,"{'min_samples_split': 0.07, 'max_depth': 20}",0.06665802001953125,0.01795220375061035,0.5,0.7411902897415819,0.7561549601737871,0.9675140425039088,0.8488759049917438,0.5125308536815503,0.9275575134605972,0.9275575134605972,0.9275575134605972,0.9156626506024096,0.8817642698295033,0.8444156591824986,0.8063073852295409
1.0,Decision Tree,29.0,"{'min_samples_split': 0.08, 'max_depth': 10}",0.05385303497314453,0.015764474868774414,0.5,0.7411902897415819,0.7561549601737871,0.9675140425039088,0.8488759049917438,0.5125308536815503,0.9275575134605972,0.9275575134605972,0.9275575134605972,0.9142529394895326,0.882876592773608,0.8469990385935998,0.8063073852295409
1.0,Decision Tree,30.0,"{'min_samples_split': 0.08, 'max_depth': 15}",0.06812334060668945,0.015302181243896484,0.5,0.7411902897415819,0.7561549601737871,0.9675140425039088,0.8488759049917438,0.5125308536815503,0.9275575134605972,0.9275575134605972,0.9275575134605972,0.9142529394895326,0.882876592773608,0.8469990385935998,0.8063073852295409
1.0,Decision Tree,31.0,"{'min_samples_split': 0.08, 'max_depth': 20}",0.06568431854248047,0.01861143112182617,0.5,0.7411902897415819,0.7561549601737871,0.9675140425039088,0.8488759049917438,0.5125308536815503,0.9275575134605972,0.9275575134605972,0.9275575134605972,0.9142529394895326,0.882876592773608,0.8469990385935998,0.8063073852295409
2.0,Random Forest,38.0,"{'min_samples_split': 0.01, 'max_depth': 15, 'max_features': 31}",8.718490839004518,0.6349263191223145,0.5,0.7494561907247891,0.7567820810280207,0.9821645723550873,0.8548675688616718,0.5143462358014722,0.9652173913043478,0.9391304347826088,0.942608695652174,0.9290996085254458,0.901913875598086,0.8751450116009281,0.8233707474114679
2.0,Random Forest,54.0,"{'min_samples_split': 0.01, 'max_depth': 20, 'max_features': 31}",8.653792381286621,0.6733090877532959,0.5,0.7496302096928565,0.7567338565822334,0.982627830215994,0.8550122187791299,0.5142280309029943,0.9608695652173912,0.9434782608695652,0.9452173913043478,0.9304045237059592,0.9021526418786692,0.8754350348027842,0.8242408422518055
3.0,Bagging,47.0,"{'max_samples': 0.3, 'max_features': 76}",19.69277024269104,2.3083021640777592,0.5,0.7344905594709823,0.7649990506929941,0.9332908680294169,0.8408065315491561,0.5336386122550443,0.9621848739495799,0.9464668094218416,0.9352890422778256,0.9168808911739504,0.8862548934319269,0.8629507254704784,0.8237187853476029
4.0,Ada Boosting,10.0,"{'algorithm': 'SAMME', 'learning_rate': 1}",1.3820648193359375,0.18166851997375488,0.5,0.7512833898894979,0.7512833898894979,1.0,0.8579803751086822,0.5,0.9658119658119658,0.9653679653679652,0.9443478260869566,0.9296264118158124,0.8949771689497716,0.8748549883990719,0.8300312825860271
