Model,Threshold,Hyperparameters,Default Parameters,Accuracy,Precision,Recall,F1 Score,AUC ROC Score,p_at_0.01,p_at_0.02,p_at_0.05,p_at_0.1,p_at_0.2,p_at_0.3,p_at_0.4,p_at_0.45,p_at_0.475,p_at_0.5,p_at_0.525,p_at_0.55,p_at_0.6,p_at_0.7,p_at_0.8,p_at_0.9,p_at_0.95,p_at_0.98,p_at_0.99
KNN,0.01,"{'weights': 'distance', 'metric': 'euclidean', 'n_neighbors': 50}",{'n_jobs': -1},0.6808857808857809,0.6808709030724043,1.0,0.8101406263001691,0.500073035349109,1.0,0.5,0.7,0.7619047619047619,0.6428571428571429,0.6875,0.7176470588235294,0.75,0.7524752475247525,0.7570093457943925,0.7589285714285714,0.7521367521367521,0.7265625,0.7133333333333334,0.7076023391812866,0.694300518134715,0.6995073891625616,0.6904761904761905,0.6886792452830188
KNN,0.8,"{'weights': 'uniform', 'metric': 'manhattan', 'n_neighbors': 90}",{'n_jobs': -1},0.38592074592074593,0.7402684563758389,0.15105450561490003,0.25090991810737034,0.5189978925971082,1.0,0.5,0.6,0.7142857142857143,0.5,0.59375,0.6941176470588235,0.7291666666666666,0.7227722772277227,0.6822429906542056,0.6875,0.7008547008547008,0.7265625,0.7466666666666667,0.672514619883041,0.7098445595854922,0.7241379310344828,0.719047619047619,0.7122641509433962
KNN,0.01,"{'weights': 'uniform', 'metric': 'euclidean', 'n_neighbors': 50}",{'n_jobs': -1},0.6808391608391609,0.6808391608391609,1.0,0.8101181560991846,0.5,1.0,1.0,0.9,0.5714285714285714,0.5476190476190477,0.40625,0.5529411764705883,0.6041666666666666,0.6237623762376238,0.6448598130841121,0.6607142857142857,0.6752136752136753,0.703125,0.7066666666666667,0.6783625730994152,0.7150259067357513,0.729064039408867,0.7380952380952381,0.7405660377358491
KNN,0.01,"{'weights': 'distance', 'metric': 'euclidean', 'n_neighbors': 50}",{'n_jobs': -1},0.6808857808857809,0.6808709030724043,1.0,0.8101406263001691,0.500073035349109,1.0,0.5,0.7,0.7619047619047619,0.6428571428571429,0.6875,0.7176470588235294,0.75,0.7524752475247525,0.7570093457943925,0.7589285714285714,0.7521367521367521,0.7265625,0.7133333333333334,0.7076023391812866,0.694300518134715,0.6995073891625616,0.6904761904761905,0.6886792452830188
KNN,0.6,"{'weights': 'distance', 'metric': 'manhattan', 'n_neighbors': 50}",{'n_jobs': -1},0.6648018648018648,0.6914377194794464,0.9168036154478225,0.7883301931229392,0.5220155967978231,1.0,0.5,0.7,0.7619047619047619,0.6190476190476191,0.703125,0.7176470588235294,0.71875,0.7128712871287128,0.7102803738317757,0.6964285714285714,0.7008547008547008,0.71875,0.7066666666666667,0.6842105263157895,0.7046632124352331,0.6896551724137931,0.6857142857142857,0.6792452830188679
Logistic Regression,0.525,"{'penalty': 'l1', 'solver': 'liblinear', 'C': 0.1}",{'random_state': 123},0.6782284382284383,0.6970425706099058,0.9328266228430567,0.7978798172660184,0.5339710093473244,1.0,1.0,0.8,0.8571428571428571,0.8333333333333334,0.796875,0.788235294117647,0.8020833333333334,0.8118811881188119,0.7850467289719626,0.7946428571428571,0.7948717948717948,0.7890625,0.8,0.8011695906432749,0.7875647668393783,0.7832512315270936,0.7761904761904762,0.7735849056603774
Logistic Regression,0.98,"{'penalty': 'l1', 'solver': 'liblinear', 'C': 10}",{'random_state': 123},0.32223776223776224,0.775,0.006368118323746919,0.012632436837815812,0.5012121047359314,1.0,1.0,0.8,0.8571428571428571,0.8095238095238095,0.796875,0.788235294117647,0.78125,0.7821782178217822,0.7663551401869159,0.7678571428571429,0.7777777777777778,0.78125,0.7933333333333333,0.7894736842105263,0.7875647668393783,0.7832512315270936,0.780952380952381,0.7783018867924528
Logistic Regression,0.01,"{'penalty': 'l1', 'solver': 'liblinear', 'C': 0.001}",{'random_state': 123},0.6808391608391609,0.6808391608391609,1.0,0.8101181560991846,0.5,0.5,0.75,0.9,0.9523809523809523,0.9761904761904762,0.984375,0.9882352941176471,0.9895833333333334,0.9900990099009901,0.9906542056074766,0.9910714285714286,0.9914529914529915,0.9921875,0.9933333333333333,0.9941520467836257,0.9948186528497409,0.9950738916256158,0.9952380952380953,0.9952830188679245
Logistic Regression,0.4,"{'penalty': 'l1', 'solver': 'liblinear', 'C': 10}",{'random_state': 123},0.6793473193473194,0.6864022389500096,0.9740482059709669,0.8053102355072463,0.5123673691262955,1.0,1.0,0.8,0.8571428571428571,0.8095238095238095,0.796875,0.788235294117647,0.78125,0.7821782178217822,0.7663551401869159,0.7678571428571429,0.7777777777777778,0.78125,0.7933333333333333,0.7894736842105263,0.7875647668393783,0.7832512315270936,0.780952380952381,0.7783018867924528
Logistic Regression,0.7,"{'penalty': 'l1', 'solver': 'liblinear', 'C': 0.1}",{'random_state': 123},0.6073659673659674,0.7456293706293706,0.6424952067926596,0.6902309842577609,0.5874614508985209,1.0,1.0,0.8,0.8571428571428571,0.8333333333333334,0.796875,0.788235294117647,0.8020833333333334,0.8118811881188119,0.7850467289719626,0.7946428571428571,0.7948717948717948,0.7890625,0.8,0.8011695906432749,0.7875647668393783,0.7832512315270936,0.7761904761904762,0.7735849056603774
Decision Tree,0.4,"{'max_features': 19, 'criterion': 'entropy', 'max_depth': 9, 'min_samples_split': 0.06}",{'random_state': 123},0.6727272727272727,0.689202674383794,0.9458367570528622,0.797379206834844,0.5179811889266648,1.0,1.0,1.0,1.0,0.7380952380952381,0.828125,0.8705882352941177,0.8854166666666666,0.8910891089108911,0.8691588785046729,0.8303571428571429,0.8034188034188035,0.765625,0.7933333333333333,0.8187134502923976,0.8393782383419689,0.8472906403940886,0.8523809523809524,0.8537735849056604
Decision Tree,0.5,"{'max_features': 47, 'criterion': 'entropy', 'max_depth': 17, 'min_samples_split': 0.06}",{'random_state': 123},0.6595337995337995,0.7092576669532817,0.8472336346206518,0.7721301756685076,0.5531815266296364,1.0,1.0,1.0,0.9523809523809523,0.9761904761904762,0.984375,0.7764705882352941,0.6875,0.6534653465346535,0.616822429906542,0.5892857142857143,0.5641025641025641,0.515625,0.5533333333333333,0.6081871345029239,0.6528497409326425,0.6699507389162561,0.680952380952381,0.6839622641509434
Decision Tree,0.01,"{'max_features': 7, 'criterion': 'entropy', 'max_depth': 7, 'min_samples_split': 0.04}",{'random_state': 123},0.6803729603729604,0.680859010270775,0.9986305121884416,0.8096824339329336,0.5000456095853104,1.0,0.5,0.5,0.7142857142857143,0.8571428571428571,0.671875,0.6823529411764706,0.71875,0.7326732673267327,0.7476635514018691,0.7589285714285714,0.7692307692307693,0.78125,0.7333333333333333,0.7543859649122807,0.6839378238341969,0.6896551724137931,0.7,0.7028301886792453
Decision Tree,0.4,"{'max_features': 19, 'criterion': 'entropy', 'max_depth': 9, 'min_samples_split': 0.06}",{'random_state': 123},0.6727272727272727,0.689202674383794,0.9458367570528622,0.797379206834844,0.5179811889266648,1.0,1.0,1.0,1.0,0.7380952380952381,0.828125,0.8705882352941177,0.8854166666666666,0.8910891089108911,0.8691588785046729,0.8303571428571429,0.8034188034188035,0.765625,0.7933333333333333,0.8187134502923976,0.8393782383419689,0.8472906403940886,0.8523809523809524,0.8537735849056604
Decision Tree,0.5,"{'max_features': 47, 'criterion': 'entropy', 'max_depth': 17, 'min_samples_split': 0.06}",{'random_state': 123},0.6595337995337995,0.7092576669532817,0.8472336346206518,0.7721301756685076,0.5531815266296364,1.0,1.0,1.0,0.9523809523809523,0.9761904761904762,0.984375,0.7764705882352941,0.6875,0.6534653465346535,0.616822429906542,0.5892857142857143,0.5641025641025641,0.515625,0.5533333333333333,0.6081871345029239,0.6528497409326425,0.6699507389162561,0.680952380952381,0.6839622641509434
Linear SVM,0.5,"{'penalty': 'l2', 'C': 0.01}","{'random_state': 123, 'max_iter': 200}",0.6808391608391609,0.6808560238716896,0.9999315256094221,0.8101076223233107,0.50003879815382,1.0,1.0,0.8,0.8571428571428571,0.8095238095238095,0.8125,0.8117647058823529,0.7916666666666666,0.801980198019802,0.8037383177570093,0.7946428571428571,0.7948717948717948,0.8046875,0.8,0.7953216374269005,0.8031088082901554,0.7980295566502463,0.7904761904761904,0.7924528301886793
Linear SVM,0.99,"{'penalty': 'l2', 'C': 1}","{'random_state': 123, 'max_iter': 200}",0.32018648018648016,0.8235294117647058,0.001917282936181868,0.0038256592430659926,0.5005204293734371,1.0,1.0,0.8,0.8571428571428571,0.8333333333333334,0.828125,0.8,0.8020833333333334,0.7821782178217822,0.7850467289719626,0.7767857142857143,0.7863247863247863,0.796875,0.7866666666666666,0.7894736842105263,0.7875647668393783,0.7832512315270936,0.7857142857142857,0.7877358490566038
Linear SVM,0.01,"{'penalty': 'l2', 'C': 0.001}","{'random_state': 123, 'max_iter': 200}",0.6807925407925408,0.6808242808522542,0.9999315256094221,0.810085152414501,0.49996576280471106,1.0,1.0,0.8,0.8095238095238095,0.8333333333333334,0.828125,0.8235294117647058,0.8333333333333334,0.8316831683168316,0.8411214953271028,0.8303571428571429,0.8376068376068376,0.828125,0.8133333333333334,0.7953216374269005,0.7927461139896373,0.7881773399014779,0.7857142857142857,0.7877358490566038
Linear SVM,0.2,"{'penalty': 'l2', 'C': 0.001}","{'random_state': 123, 'max_iter': 200}",0.6807925407925408,0.6808242808522542,0.9999315256094221,0.810085152414501,0.49996576280471106,1.0,1.0,0.8,0.8095238095238095,0.8333333333333334,0.828125,0.8235294117647058,0.8333333333333334,0.8316831683168316,0.8411214953271028,0.8303571428571429,0.8376068376068376,0.828125,0.8133333333333334,0.7953216374269005,0.7927461139896373,0.7881773399014779,0.7857142857142857,0.7877358490566038
